REGION_INDEX,TIME,STARTEND
0,94.80556917190552,1676690985.5617688
180,101.03387022018433,1676691023.8858924
300,117.72335577011108,1676691040.6407728
500,154.94028854370117,1676691077.6622043
20,160.0910303592682,1676691082.2808025
440,160.47399878501892,1676691082.9999676
220,163.75496983528137,1676691086.6095245
520,164.86125302314758,1676691087.3501456
580,167.11740612983704,1676691091.6678362
380,186.98647046089172,1676691109.4757648
160,188.24254369735718,1676691111.0976033
860,159.2020387649536,1676691112.6649559
720,160.76943612098694,1676691117.9562216
900,165.47723817825317,1676691118.995406
60,195.9723198413849,1676691122.6876705
120,205.73459577560425,1676691128.5894444
240,205.73507356643677,1676691128.5894516
260,205.67183709144592,1676691128.5894616
1040,179.9061315059662,1676691133.4569116
1060,186.31392240524292,1676691139.864502
640,191.10229778289795,1676691145.077946
1000,193.56157112121582,1676691147.0791512
760,190.44598507881165,1676691147.6325405
820,194.66831064224243,1676691148.0882442
560,223.7633855342865,1676691148.25665
660,196.67056918144226,1676691150.6462853
360,230.5306272506714,1676691153.020037
1120,174.50252652168274,1676691158.4509141
80,233.43645477294922,1676691160.1520634
420,238.2905888557434,1676691161.0280077
800,207.43816447257996,1676691164.6247427
880,211.72377395629883,1676691165.07208
40,238.47393202781677,1676691165.1894827
340,246.73114848136902,1676691169.3011558
480,249.96044421195984,1676691172.7622979
1260,189.02182269096375,1676691173.3742852
1200,189.72325611114502,1676691174.0760605
1080,222.23879098892212,1676691175.789496
1020,223.36135983467102,1676691176.9118743
600,224.5394206047058,1676691176.912076
540,259.6299698352814,1676691182.1190226
1160,198.6217761039734,1676691182.9755955
400,261.78740787506104,1676691185.0513341
1640,203.73533630371094,1676691188.4614165
1,205.24565267562866,1676691193.1181414
980,242.17982530593872,1676691195.711971
1140,216.58693408966064,1676691200.9399219
1180,217.70469737052917,1676691202.0577145
1500,214.59930682182312,1676691202.8481526
200,282.0348517894745,1676691204.8873863
940,253.44505834579468,1676691206.9631033
1920,191.612690448761,1676691207.427854
140,287.7171218395233,1676691210.5719483
840,258.98847556114197,1676691212.4073153
1560,230.14808201789856,1676691214.0641277
181,195.6636564731598,1676691220.4962518
1540,237.17126774787903,1676691221.2007298
2140,207.8349380493164,1676691223.9848814
2000,209.15999722480774,1676691225.149016
1520,237.0268156528473,1676691225.2755811
1420,237.20604920387268,1676691225.4546266
1220,243.0864715576172,1676691227.4388475
920,274.6364817619324,1676691228.1546495
2060,214.82111501693726,1676691230.971095
1580,249.76588106155396,1676691233.783284
1680,218.853595495224,1676691233.983548
1280,250.59681105613708,1676691234.343924
960,281.49913811683655,1676691235.0170321
1320,251.6039915084839,1676691235.7504807
1460,248.7422592639923,1676691236.9909585
2320,192.65451288223267,1676691237.4176219
1660,222.83791327476501,1676691237.5803294
2020,221.7206268310547,1676691237.8246047
1620,254.8067238330841,1676691238.7016544
2100,223.12055039405823,1676691239.2706773
1380,251.38968420028687,1676691239.6383765
301,198.5198836326599,1676691240.1780875
1300,257.8910834789276,1676691242.037437
100,320.10800290107727,1676691242.9631584
1780,227.5959997177124,1676691243.9151945
1960,231.21169090270996,1676691246.9699523
2040,232.02829575538635,1676691248.1990921
1360,260.15160608291626,1676691248.4003696
1240,266.1783516407013,1676691250.5306945
1940,235.3102958202362,1676691251.1259773
620,299.2871265411377,1676691253.2630682
2180,209.27401685714722,1676691253.836042
2080,238.90354371070862,1676691255.0760372
2220,211.07182097434998,1676691256.1987705
1100,273.93627429008484,1676691257.8849325
740,302.74465107917786,1676691259.9312866
2260,214.75886511802673,1676691260.5605745
1760,246.24224543571472,1676691262.5610552
2520,218.21951818466187,1676691263.4180863
2660,219.8230016231537,1676691264.8359013
1860,252.33278512954712,1676691268.154655
1340,279.9543454647064,1676691268.2030983
1700,252.91402053833008,1676691269.2321386
1820,253.89544820785522,1676691269.7170367
2620,226.45127320289612,1676691271.4639885
2280,226.49251985549927,1676691272.2288501
2460,230.08849906921387,1676691275.5296843
280,352.68297386169434,1676691275.600911
2700,230.4778435230255,1676691276.1513374
1880,260.4939675331116,1676691276.374291
2560,233.29672288894653,1676691278.4952173
221,191.24025535583496,1676691279.381071
2380,235.61283421516418,1676691281.7130585
460,358.96936869621277,1676691281.7228637
2800,205.73887395858765,1676691283.3489027
1440,296.89755392074585,1676691285.146169
2640,244.2868402004242,1676691289.299485
2500,246.64802432060242,1676691292.151528
2200,248.852215051651,1676691293.4327357
780,337.46283054351807,1676691294.6493046
2540,249.45870280265808,1676691294.833889
320,372.46883273124695,1676691295.3864963
2340,252.12316274642944,1676691298.3226852
2780,223.16959691047668,1676691300.8499925
2580,258.99624705314636,1676691304.1944916
3100,226.33908653259277,1676691304.9174948
2720,228.36639165878296,1676691305.4191973
1720,289.209645986557,1676691305.52803
2820,229.07321763038635,1676691307.3771353
2160,291.9366133213043,1676691308.0865343
3360,205.63142275810242,1676691310.2982361
1600,327.17573976516724,1676691311.0705726
3000,232.87278723716736,1676691311.100192
441,227.11152338981628,1676691311.4845161
-1,453.0682406425476,1676690859.6634011
2760,236.3266429901123,1676691314.0790513
3560,208.94863605499268,1676691314.3474407
2420,269.61451387405396,1676691314.8129954
2680,271.38229870796204,1676691316.3948753
2880,238.73787474632263,1676691317.304207
1480,331.1435525417328,1676691319.392635
3200,241.33308625221252,1676691320.153008
2120,305.2499966621399,1676691321.4420464
3300,218.7871630191803,1676691323.4528964
3440,218.9226896762848,1676691324.3218741
1900,308.8856189250946,1676691324.643478
3160,246.1629023551941,1676691324.7297785
3180,246.79777789115906,1676691325.4036927
721,207.70561838150024,1676691326.8346436
2240,282.57943773269653,1676691327.7061288
3140,249.72594499588013,1676691328.3097186
2940,251.30433893203735,1676691329.5322473
3220,253.33646750450134,1676691331.2913709
700,377.42239713668823,1676691331.398179
581,239.80741357803345,1676691332.314751
2840,256.0176088809967,1676691334.345749
680,380.77212357521057,1676691334.7478714
901,217.01602053642273,1676691337.1448429
3120,261.2148039340973,1676691339.796432
3380,236.91411662101746,1676691341.5796804
3500,236.41411757469177,1676691341.997078
3280,237.72902154922485,1676691342.154788
1800,326.5716347694397,1676691342.3935685
2980,265.94828176498413,1676691344.5255544
3520,240.3449730873108,1676691345.7438676
3740,240.4379541873932,1676691345.7628868
3660,240.63894200325012,1676691345.963776
3260,241.5724835395813,1676691345.997928
3240,271.3373041152954,1676691349.292109
1740,333.7810289859772,1676691350.099178
3760,242.42615795135498,1676691350.4447181
261,220.75111556053162,1676691350.9892077
3580,248.49321031570435,1676691353.8921027
21,272.0042245388031,1676691355.8414702
3960,218.76656579971313,1676691358.3098977
4140,219.05011677742004,1676691358.3977768
121,230.85581803321838,1676691360.2726917
4020,221.68348455429077,1676691361.269659
3320,257.6579554080963,1676691362.3237379
3480,257.27594208717346,1676691362.674413
2920,287.8758261203766,1676691366.6407702
381,256.03321146965027,1676691366.9234724
3880,228.6638000011444,1676691367.8208358
3620,263.71875858306885,1676691369.0435975
2860,291.1722321510315,1676691369.4298823
3680,264.2381999492645,1676691369.5625002
3020,291.02014541625977,1676691369.6150491
1400,382.5264332294464,1676691370.7751698
3420,265.4932553768158,1676691370.892163
3720,266.36694407463074,1676691371.6919851
521,282.8774313926697,1676691371.7025545
2400,328.72247076034546,1676691373.921096
861,261.5020270347595,1676691375.072802
3980,235.60427331924438,1676691375.1888347
3060,297.6439609527588,1676691376.0754576
2300,331.029682636261,1676691376.7900252
761,229.11008381843567,1676691377.7190237
2440,333.8106415271759,1676691379.0092509
3460,273.77404856681824,1676691379.172966
4260,239.52985382080078,1676691379.1729412
341,210.4966516494751,1676691380.6942325
4000,241.31388759613037,1676691380.951977
4200,242.20409321784973,1676691381.8495948
4280,242.9282932281494,1676691382.3159187
3900,244.8790283203125,1676691384.0360003
2900,308.44519329071045,1676691386.6730115
4220,247.2405936717987,1676691386.883589
1041,252.42375135421753,1676691387.2405663
821,239.175874710083,1676691388.2663374
1121,228.92077779769897,1676691388.4018059
481,216.27433705329895,1676691389.9089754
4760,219.54292368888855,1676691390.4530275
1161,206.85563826560974,1676691391.0682604
4180,251.67215371131897,1676691391.3154185
501,313.45912170410156,1676691392.2792108
1840,376.4801595211029,1676691392.3089008
4060,253.56610321998596,1676691393.1803646
3640,287.95804619789124,1676691393.2829735
2960,314.9436573982239,1676691393.4889996
161,282.7371344566345,1676691394.7246337
2740,317.3846080303192,1676691395.107888
4040,258.9135694503784,1676691398.5898776
4500,239.49722051620483,1676691403.9501123
1261,231.40217876434326,1676691406.015234
4340,242.74147009849548,1676691407.0892694
1980,391.27642154693604,1676691407.3777804
2480,361.9577178955078,1676691407.3777738
4460,243.22747492790222,1676691407.7727346
4160,270.46530961990356,1676691409.812083
3540,307.70066952705383,1676691413.0994434
1081,236.0089316368103,1676691413.2683074
541,230.67067456245422,1676691413.6196175
4720,248.92556381225586,1676691413.805907
4320,250.610285282135,1676691415.1523612
1201,241.14093446731567,1676691416.612728
941,208.71551823616028,1676691417.6797054
4660,253.10371804237366,1676691417.849476
981,224.3028473854065,1676691420.9538357
4820,251.65562462806702,1676691422.566133
4100,285.2578775882721,1676691424.8012803
1641,236.12318229675293,1676691425.4786956
61,297.9329113960266,1676691426.7484834
5020,224.48450112342834,1676691426.8762891
4620,262.74242091178894,1676691427.5109134
4520,266.61811661720276,1676691431.363471
3860,292.2136733531952,1676691431.3703542
201,226.36419820785522,1676691432.1696153
1501,234.0575065612793,1676691438.2394686
4360,273.8290579319,1676691438.28657
4560,274.390362739563,1676691439.1363406
4740,275.33378624916077,1676691440.1879714
661,292.8668043613434,1676691444.2830565
3340,340.64102697372437,1676691445.3075063
5300,241.89324235916138,1676691445.4456055
2141,222.5985746383667,1676691447.6042655
1001,300.0523941516876,1676691447.9003313
