REGION_INDEX,TIME,STARTEND
20,87.3699004650116,1676749399.6776404
40,93.27581405639648,1676749406.8813648
80,96.93573451042175,1676749408.647829
60,109.29755568504333,1676749421.1501324
500,97.40081930160522,1676749441.1233473
180,101.4749903678894,1676749444.262609
440,121.39043354988098,1676749464.113907
0,154.18380570411682,1676749468.5026245
380,127.0133593082428,1676749470.034912
220,146.62074327468872,1676749490.0704079
600,152.9697403907776,1676749502.756915
520,165.0957202911377,1676749511.8509371
260,177.28437638282776,1676749524.723369
160,183.4520778656006,1676749529.0557919
120,188.46154880523682,1676749532.424507
240,199.62015914916992,1676749542.4081442
580,198.63565492630005,1676749544.4346454
660,203.08072566986084,1676749554.3849826
360,215.59793186187744,1676749558.6196976
300,216.48006200790405,1676749563.9191856
560,228.68958449363708,1676749572.5980406
420,236.01885414123535,1676749578.742417
340,235.50475764274597,1676749578.5269215
400,235.50508546829224,1676749578.5270598
200,238.18794703483582,1676749580.9755845
640,240.2018265724182,1676749590.7163205
1060,227.10108733177185,1676749601.4907265
760,229.54313921928406,1676749603.9315574
860,230.05562281608582,1676749604.7521946
1040,243.80770754814148,1676749618.2705684
720,245.53458285331726,1676749619.3641233
820,244.79101061820984,1676749619.422879
800,244.17185020446777,1676749619.4259186
1000,245.46406841278076,1676749619.926813
620,283.2272353172302,1676749633.7417006
100,290.53430914878845,1676749635.7488348
900,271.41603231430054,1676749646.6196659
1080,276.27201795578003,1676749651.1036024
480,303.660706281662,1676749651.1034908
880,281.5644187927246,1676749656.772077
540,310.2294194698334,1676749654.3028092
1120,251.9304223060608,1676749658.2646985
280,329.7717673778534,1676749677.2109327
1160,272.655699968338,1676749678.9903862
1660,273.30629444122314,1676749678.9904191
460,338.6674418449402,1676749681.3911617
1020,306.9283711910248,1676749681.390798
740,312.8060917854309,1676749686.6083605
980,316.7812976837158,1676749691.2440422
1260,287.1429970264435,1676749693.1840317
1640,286.47458148002625,1676749692.158703
1200,289.13796186447144,1676749695.1453018
2000,258.4687271118164,1676749695.4217222
1380,290.77338194847107,1676749696.340219
2140,259.94287037849426,1676749697.7115393
1560,293.27633357048035,1676749699.439893
1680,290.6181483268738,1676749700.1059215
320,355.2984323501587,1676749702.7373857
1520,297.2695231437683,1676749703.4330258
1920,269.3326954841614,1676749706.285361
140,365.15258955955505,1676749709.1157482
1140,302.9344437122345,1676749709.269412
1500,305.6848645210266,1676749712.1126416
1620,307.4679732322693,1676749713.6314516
2020,279.8840687274933,1676749716.8368533
1220,312.16630125045776,1676749718.2072356
1100,346.14299726486206,1676749720.9745948
1320,315.4338734149933,1676749721.4748023
1180,315.50325655937195,1676749721.8701901
920,346.7586090564728,1676749722.251831
2220,253.62137246131897,1676749723.2300098
441,263.04183983802795,1676749728.5803916
1360,325.10483169555664,1676749730.6831107
1300,326.79109358787537,1676749732.832405
1580,327.3111140727997,1676749733.47456
2280,264.1880271434784,1676749733.7967868
1940,297.6401345729828,1676749734.5928879
1540,328.7755591869354,1676749734.9391806
2180,263.3801066875458,1676749735.7801905
2100,298.05941557884216,1676749735.8281872
181,290.7391953468323,1676749736.0860293
1280,330.33565282821655,1676749736.3766346
1700,327.83124232292175,1676749737.276983
2080,300.5423536300659,1676749738.3111296
1420,332.52492022514343,1676749738.5847945
1460,333.2501163482666,1676749739.676707
1960,304.0909035205841,1676749741.0671396
2060,304.1437590122223,1676749741.9124918
2260,272.9629690647125,1676749742.571651
2040,312.35831356048584,1676749750.1270237
1340,344.1523017883301,1676749750.1481185
2420,281.1508252620697,1676749750.3078685
2320,283.51331424713135,1676749753.1219678
1780,316.1604425907135,1676749753.1221676
